symbol,name,market_cap,last_price,avg_daily_volume_value,sector,industry,red_flag_status,red_flag_reasons,fund_profitability,fund_growth,fund_valuation,fund_financial_health,fund_dividend,fundamental_score,fund_data_coverage,roe,pe_ratio,debt_to_equity,operating_margin,technical_score,tech_data_coverage,tech_trend,tech_momentum,tech_volume,tech_relative_strength,composite_score_raw,l_category,sector_preference_mult,composite_score,composite_rank,fundamental_rank,technical_rank,data_quality
GESHIP.NS,The Great Eastern Shipping Company Limited,204114214912,1429.7,822608196.2404134,Industrials,Marine Shipping,PASS,,87.5,70.0,62.5,90.0,60.0,75.87500000000001,1.0,,9.041867,8.236,0.3818,71.58333333333334,1.0,70.0,62.5,66.66666666666667,100.0,75.01666666666668,L2,1.1,82.51833333333336,1,9,56,HIGH
GARUDA.NS,Garuda Construction and Engineering Limited,14871791616,159.84,215467562.40986073,Industrials,Engineering & Construction,PASS,,87.5,98.0,47.5,90.0,65.0,80.37500000000001,1.0,,13.923346,0.023,0.32152,43.5,1.0,26.666666666666664,55.0,23.333333333333336,86.66666666666666,73.00000000000001,L2,1.1,80.30000000000003,2,1,575,HIGH
BSE.NS,BSE Limited,1137973657600,2802.0,14594607032.555079,Financial Services,Financial Data & Stock Exchanges,PASS,,97.5,94.0,27.5,100.0,60.0,79.37500000000001,1.0,,52.887882,0.0,0.8172,62.25000000000001,1.0,60.0,47.5,60.0,100.0,75.95000000000002,L1,1.05,79.74750000000002,3,2,136,HIGH
ACUTAAS.NS,Acutaas Chemicals Limited,196474322944,2399.8,826665120.4496094,Basic Materials,Specialty Chemicals,PASS,,82.5,98.0,22.5,90.0,60.0,73.62500000000001,1.0,,68.48744,0.58,0.35818002,83.16666666666667,1.0,78.33333333333333,82.5,80.0,100.0,75.53333333333335,L3,1.03,77.79933333333335,4,18,1,HIGH
NATCOPHARM.NS,Natco Pharma Limited,171843518464,959.2,2140315080.468455,Healthcare,Drug Manufacturers - Specialty & Generic,PASS,,87.5,84.0,52.5,90.0,60.0,77.37500000000001,1.0,,11.037974,3.012,0.17379999,71.83333333333334,1.0,70.0,80.0,46.66666666666667,93.33333333333334,76.26666666666668,L1,1.02,77.79200000000002,5,7,52,HIGH
QPOWER.NS,Quality Power Electrical Equipments Limited,64630968320,834.55,925731050.6261455,Industrials,Electrical Equipment & Parts,PASS,,67.5,92.0,27.5,90.0,60.0,69.37500000000001,1.0,,60.606388,5.486,0.26584,75.58333333333334,1.0,78.33333333333333,65.0,73.33333333333333,93.33333333333334,70.61666666666669,L2,1.1,77.67833333333337,6,56,26,HIGH
GANDHITUBE.NS,Gandhi Special Tubes Limited,9866306560,808.95,25045282.74431763,Industrials,Metal Fabrication,PASS,,92.5,70.0,47.5,90.0,75.0,75.62500000000001,1.0,,13.847142,0.04,0.44226003,49.75000000000001,1.0,48.33333333333333,55.0,16.666666666666668,86.66666666666666,70.45000000000002,L2,1.1,77.49500000000002,7,10,352,HIGH
MCX.NS,Multi Commodity Exchange of India Limited,614524256256,2414.5,8634885275.246176,Financial Services,Financial Data & Stock Exchanges,PASS,,92.5,100.0,22.5,90.0,75.0,78.12500000000001,1.0,,97.08484,0.024,0.72405,55.91666666666667,1.0,50.0,52.5,43.33333333333333,93.33333333333334,73.68333333333335,L1,1.05,77.36750000000002,8,3,210,HIGH
FORCEMOT.NS,FORCE MOTORS LTD,284409626624,21585.0,2885661541.4,Consumer Cyclical,Auto Manufacturers,PASS,,72.5,88.0,32.5,100.0,60.0,72.62500000000001,1.0,,20.789991,,0.14155,62.33333333333334,1.0,56.66666666666667,55.0,60.0,93.33333333333334,70.56666666666669,L2,1.07,75.50633333333336,9,22,134,HIGH
VOLTAMP.NS,Voltamp Transformers Limited,87052763136,8604.5,366967937.96666664,Industrials,Electrical Equipment & Parts,PASS,,67.5,80.0,27.5,90.0,75.0,67.87500000000001,1.0,,24.570244,0.082,0.16493,70.33333333333334,1.0,70.0,75.0,46.66666666666667,93.33333333333334,68.36666666666667,L2,1.1,75.20333333333335,10,75,64,HIGH
SHILCTECH.NS,Shilchar Technologies Limited,45501108224,3977.3,119012274.0233724,Industrials,Electrical Equipment & Parts,PASS,,97.5,78.0,22.5,,50.0,66.71875,0.8,,24.569433,,0.30227,72.95833333333334,1.0,67.5,70.0,66.66666666666667,100.0,67.96666666666667,L2,1.1,74.76333333333334,11,92,45,HIGH
ANANDRATHI.NS,Anand Rathi Wealth Limited,249368215552,3003.4,509732298.8911133,Financial Services,Asset Management,PASS,,97.5,90.0,12.5,90.0,75.0,74.87500000000001,1.0,,68.027176,9.912,0.45431998,56.41666666666667,1.0,56.66666666666667,47.5,36.666666666666664,100.0,71.18333333333335,L1,1.05,74.74250000000002,12,11,207,HIGH
PIXTRANS.NS,Pix Transmissions Limited,19832389632,1453.0,33983195.163175456,Industrials,Specialty Industrial Machinery,PASS,,77.5,72.0,42.5,90.0,60.0,69.87500000000001,1.0,,18.114948,4.661,0.24797001,59.83333333333334,1.0,53.33333333333333,65.0,43.33333333333333,86.66666666666666,67.86666666666667,L2,1.1,74.65333333333335,13,48,168,HIGH
LOTUSDEV.NS,Sri Lotus Developers and Realty Limited,55997964288,114.58,268356101.39177856,Industrials,Engineering & Construction,PASS,,97.5,88.0,27.5,90.0,50.0,74.87500000000001,1.0,,24.64086,7.958,0.3527,37.95833333333334,1.0,22.5,32.5,46.66666666666667,73.33333333333333,67.49166666666667,L2,1.1,74.24083333333334,14,11,857,HIGH
KMEW.NS,Knowledge Marine & Engineering Works Limited,37886103552,1545.2,186164761.6682658,Industrials,Marine Shipping,PASS,,92.5,100.0,22.5,60.0,50.0,69.62500000000001,1.0,,54.95021,60.049,0.38531,58.08333333333334,1.0,51.66666666666667,60.0,40.0,93.33333333333334,67.31666666666669,L2,1.1,74.04833333333336,15,52,190,HIGH
BALUFORGE.NS,Balu Forge Industries Limited,53162770432,437.75,438749531.92784524,Industrials,Metal Fabrication,PASS,,77.5,90.0,30.0,100.0,65.0,74.37500000000001,1.0,,19.683004,,0.27568,38.58333333333334,1.0,30.0,42.5,16.666666666666668,80.0,67.21666666666668,L2,1.1,73.93833333333336,16,14,808,HIGH
OSWALPUMPS.NS,Oswal Pumps Limited,35845898240,314.5,352731992.68398845,Industrials,Electrical Equipment & Parts,PASS,,82.5,84.0,27.5,90.0,50.0,70.12500000000001,1.0,,36.783627,8.278,0.2581,55.58333333333334,1.0,55.0,40.0,66.66666666666667,73.33333333333333,67.21666666666668,L2,1.1,73.93833333333336,16,44,219,HIGH
BLS.NS,BLS International Services Limited,99052871680,240.6,624888497.664945,Industrials,Specialty Business Services,PASS,,77.5,98.0,42.5,80.0,60.0,74.37500000000001,1.0,,15.4131975,16.545,0.23725,37.50000000000001,1.0,23.333333333333336,50.0,16.666666666666668,73.33333333333333,67.00000000000001,L2,1.1,73.70000000000002,18,14,872,HIGH
RAJOOENG.NS,Rajoo Engineers Limited,9986162688,55.89,30361766.530346427,Industrials,Specialty Industrial Machinery,PASS,,77.5,84.0,47.5,90.0,60.0,73.87500000000001,1.0,,15.832861,5.21,0.22469,37.0,1.0,25.0,37.5,30.0,73.33333333333333,66.50000000000001,L2,1.1,73.15000000000002,19,17,898,HIGH
NAVA.NS,NAVA LIMITED,156641214464,553.5,155147276.7294698,Industrials,Conglomerates,PASS,,82.5,60.0,50.0,80.0,75.0,69.12500000000001,1.0,,17.604961,15.987,0.32986,54.66666666666667,1.0,36.666666666666664,65.0,46.66666666666667,86.66666666666666,66.23333333333335,L2,1.1,72.85666666666668,20,61,238,HIGH
ICICIAMC.NS,ICICI Prudential Asset Management Company Limited,1385900933120,2804.0,1140966946.515983,Financial Services,Asset Management,PASS,,97.5,94.0,22.5,90.0,60.0,76.37500000000001,1.0,,42.920555,4.117,0.75343,41.04166666666667,1.0,27.5,42.5,23.333333333333336,93.33333333333334,69.30833333333335,L1,1.05,72.77375000000002,21,8,688,HIGH
SRM.NS,SRM Contractors Limited,9274647552,404.15,94190144.14818725,Industrials,Engineering & Construction,PASS,,62.5,98.0,52.5,80.0,50.0,71.62500000000001,1.0,,11.481534,19.915,0.16825001,44.16666666666667,1.0,36.666666666666664,40.0,36.666666666666664,80.0,66.13333333333334,L2,1.1,72.74666666666668,22,27,545,HIGH
TATAINVEST.NS,Tata Investment Corporation Limited,304887234560,602.6,1315349862.7007833,Financial Services,Asset Management,PASS,,96.66666666666666,72.0,62.5,,75.0,77.70833333333333,0.8,,74.67162,,0.81563,33.75000000000001,1.0,23.333333333333336,37.5,16.666666666666668,73.33333333333333,68.91666666666667,L1,1.05,72.36250000000001,23,5,1015,HIGH
BEL.NS,Bharat Electronics Limited,3114696966144,426.1,7579804249.315993,Industrials,Aerospace & Defense,PASS,,82.5,84.0,12.5,90.0,75.0,69.62500000000001,1.0,,52.09046,0.273,0.27842,50.41666666666667,1.0,50.0,47.5,23.333333333333336,93.33333333333334,65.78333333333336,L2,1.1,72.36166666666671,24,52,330,HIGH
TRAVELFOOD.NS,Travel Food Services Limited,147257180160,1118.3,87092375.63877767,Consumer Cyclical,Restaurants,PASS,,97.5,86.0,22.5,80.0,50.0,71.37500000000001,1.0,,34.83801,23.659,0.31173,50.12500000000001,1.0,27.5,55.0,60.0,80.0,67.12500000000001,L2,1.07,71.82375000000002,25,30,341,HIGH
