symbol,name,market_cap,last_price,avg_daily_volume_value,sector,industry,red_flag_status,red_flag_reasons,fund_profitability,fund_growth,fund_valuation,fund_financial_health,fund_dividend,fundamental_score,fund_data_coverage,roe,pe_ratio,debt_to_equity,operating_margin
GARUDA.NS,Garuda Construction and Engineering Limited,14434496512,155.14,216746525.30161744,Industrials,Engineering & Construction,PASS,,90.0,100.0,47.5,90.0,65.0,81.50000000000001,1.0,,13.537521,0.023,0.32152
GESHIP.NS,The Great Eastern Shipping Company Limited,201501589504,1411.4,756138102.2809082,Industrials,Marine Shipping,PASS,,96.66666666666666,82.5,62.5,90.0,60.0,81.29166666666667,1.0,,8.926697,8.236,0.3818
BSE.NS,BSE Limited,1139638927360,2806.1,14412887903.867342,Financial Services,Financial Data & Stock Exchanges,PASS,,96.66666666666666,100.0,27.5,100.0,60.0,80.66666666666669,1.0,,53.08551,0.0,0.8172
TATAINVEST.NS,Tata Investment Corporation Limited,318143201280,628.8,1322543668.9348247,Financial Services,Asset Management,PASS,,96.66666666666666,85.0,57.5,,75.0,80.52083333333333,0.8,,77.821785,,0.81563
MCX.NS,Multi Commodity Exchange of India Limited,632747524096,2486.1,9017817110.170076,Financial Services,Financial Data & Stock Exchanges,PASS,,96.66666666666666,100.0,22.5,90.0,75.0,79.16666666666669,1.0,,99.483795,0.024,0.72405
HBLENGINE.NS,HBL Engineering Limited,183627792384,662.45,974562945.9773824,Industrials,Electrical Equipment & Parts,PASS,,96.66666666666666,92.5,37.5,90.0,60.0,78.79166666666667,1.0,,23.073843,4.396,0.33192003
WEBELSOLAR.NS,Websol Energy System Limited,22044375040,52.23,319735938.7070592,Technology,Solar,PASS,,96.66666666666666,100.0,52.5,70.0,50.0,78.66666666666669,1.0,,9.873346,40.716,0.34599
INDIAMART.NS,Indiamart Intermesh Limited,124698845184,2075.9,253933399.08372396,Communication Services,Internet Content & Information,PASS,,96.66666666666666,87.5,32.5,90.0,75.0,78.04166666666667,1.0,,20.661888,1.097,0.31569
GANDHITUBE.NS,Gandhi Special Tubes Limited,9850450944,807.65,24837202.528635662,Industrials,Metal Fabrication,PASS,,96.66666666666666,75.0,47.5,90.0,75.0,77.91666666666667,1.0,,13.836732,0.04,0.44226003
ICICIAMC.NS,ICICI Prudential Asset Management Company Limited,1415506952192,2863.9,1161824658.3331869,Financial Services,Asset Management,PASS,,96.66666666666666,100.0,22.5,90.0,60.0,77.66666666666669,1.0,,43.81061,4.117,0.75343
TREL.NS,Transindia Real Estate Limited,5943374848,24.19,4753696.269339307,Real Estate,Real Estate Services,PASS,,90.0,70.0,62.5,100.0,50.0,77.50000000000001,1.0,,9.561265,,0.2811
NATCOPHARM.NS,Natco Pharma Limited,171780816896,958.55,2100590542.8037415,Healthcare,Drug Manufacturers - Specialty & Generic,PASS,,83.33333333333334,87.5,52.5,90.0,60.0,77.20833333333334,1.0,,11.020349,3.012,0.17379999
EIMCOELECO.NS,Eimco Elecon (India) Limited,8495100416,1472.7,27758950.39210612,Industrials,Farm & Heavy Construction Machinery,PASS,,70.0,100.0,52.5,90.0,60.0,77.00000000000001,1.0,,17.972906,0.376,0.16639
BALUFORGE.NS,Balu Forge Industries Limited,53125677056,450.45,474001042.93859357,Industrials,Metal Fabrication,PASS,,76.66666666666667,100.0,30.0,100.0,65.0,76.66666666666669,1.0,,20.272278,,0.27568
ACUTAAS.NS,Acutaas Chemicals Limited,169407725568,2069.2,779631487.9278158,Basic Materials,Specialty Chemicals,PASS,,90.0,97.5,27.5,90.0,60.0,76.37500000000001,1.0,,59.103115,0.58,0.35818002
ANANDRATHI.NS,Anand Rathi Wealth Limited,252241002496,3038.0,483038302.1442627,Financial Services,Asset Management,PASS,,96.66666666666666,95.0,12.5,90.0,75.0,75.91666666666667,1.0,,68.46969,9.912,0.45431998
JINDRILL.NS,Jindal Drilling And Industries Limited,13214788608,455.9,1710859026.2523906,Energy,Oil & Gas Equipment & Services,PASS,,76.66666666666667,73.33333333333333,70.0,90.0,60.0,75.50000000000001,1.0,,5.5781226,6.544,0.14033
JUSTDIAL.NS,Just Dial Limited,43743260672,514.25,117703201.8547994,Communication Services,Internet Content & Information,PASS,,83.33333333333334,72.5,67.5,90.0,50.0,75.45833333333334,1.0,,7.5982566,1.946,0.27502
TIPSMUSIC.NS,Tips Music Limited,64810618880,507.0,66989045.68420512,Communication Services,Entertainment,PASS,,96.66666666666666,95.0,17.5,90.0,60.0,75.41666666666667,1.0,,34.41955,1.065,0.78341
NBIFIN.NS,N. B. I. Industrial Finance Company Limited,5268792832,1783.1,864952.82578125,Financial Services,Capital Markets,PASS,,96.66666666666666,65.0,42.5,100.0,65.0,75.41666666666667,1.0,,34.46936,,0.91564006
ITCHOTELS.NS,ITC Hotels Limited,311953555456,149.69,588451198.0582235,Consumer Cyclical,Resorts & Casinos,PASS,,83.33333333333334,100.0,32.5,90.0,50.0,75.33333333333334,1.0,,41.123627,0.724,0.29483998
DATAPATTNS.NS,Data Patterns (India) Limited,177592336384,3172.2,3365633459.620101,Industrials,Aerospace & Defense,PASS,,96.66666666666666,97.5,12.5,90.0,60.0,75.04166666666669,1.0,,72.01362,0.378,0.43129003
ENGINERSIN.NS,Engineers India Limited,105562349568,187.67,3537963019.108696,Industrials,Engineering & Construction,PASS,,76.66666666666667,82.5,47.5,90.0,75.0,74.79166666666667,1.0,,13.599275,0.731,0.28259
LOTUSDEV.NS,Sri Lotus Developers and Realty Limited,57429925888,117.51,256542207.25362295,Industrials,Engineering & Construction,PASS,,96.66666666666666,92.5,22.5,90.0,50.0,74.79166666666667,1.0,,25.270967,7.958,0.3527
RAJOOENG.NS,Rajoo Engineers Limited,10182705152,56.99,32737300.749933623,Industrials,Specialty Industrial Machinery,PASS,,76.66666666666667,87.5,47.5,90.0,60.0,74.54166666666667,1.0,,16.144476,5.21,0.22469
JPOLYINVST.NS,Jindal Poly Investment and Finance Company Limited,12927570944,1229.8,325343385.635437,Financial Services,Asset Management,PASS,,96.66666666666666,50.0,72.5,90.0,50.0,74.16666666666667,1.0,,1.4542489,1.433,0.9999
ZENTEC.NS,Zen Technologies Limited,120606425088,1340.6,684289003.7074381,Industrials,Aerospace & Defense,PASS,,96.66666666666666,90.0,17.5,90.0,60.0,74.16666666666667,1.0,,45.691887,0.976,0.33915
