symbol,name,sector,cmp,intrinsicValue,dcfPerShare,weightedDcfPerShare,relativeValue,upside,marginOfSafety,mosZone,verdict,wacc,costOfEquity,beta,dcfBear,dcfBull
TATAINVEST,Tata Investment Corporation Limited,Financial Services,621.7,6797032.71,11168017.96,13593352.39,713.04,1093197.8,100.0,Strong Buy,Undervalued,10.0,10.0,0.5,1756471.65,30280901.98
CREDITACC,CreditAccess Grameen Limited,Financial Services,1160.9,783886.26,1250366.13,1566917.18,855.34,67424.0,99.9,Strong Buy,Undervalued,6.8,10.0,0.5,243586.1,3523350.36
ICICIPRULI,ICICI Prudential Life Insurance Company Limited,Financial Services,583.75,126333.28,164612.67,252178.71,487.86,21541.7,99.5,Strong Buy,Undervalued,9.8,10.0,0.5,0.0,679489.5
POONAWALLA,Poonawalla Fincorp Limited,Financial Services,408.35,56260.06,93956.58,112225.45,294.67,13677.4,99.3,Strong Buy,Undervalued,6.7,10.0,0.5,24518.83,236469.79
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,Financial Services,1553.9,116314.68,359079.29,231661.55,967.82,7385.3,98.7,Strong Buy,Undervalued,4.6,10.0,0.5,69473.67,139013.94
IREDA,Indian Renewable Energy Development Agency Limited,Financial Services,114.85,4765.81,6813.86,9464.17,67.45,4049.6,97.6,Strong Buy,Undervalued,5.6,10.0,0.5,2183.46,22045.49
HUDCO,Housing and Urban Development Corporation Limited,Financial Services,172.7,6613.62,9330.17,13150.8,76.44,3729.5,97.4,Strong Buy,Undervalued,5.5,11.1,0.68,3428.59,30514.27
PFC,Power Finance Corporation Limited,Financial Services,405.6,14604.63,20500.43,28865.42,343.84,3500.7,97.2,Strong Buy,Undervalued,5.5,10.6,0.6,7242.49,67218.31
LLOYDSME,Lloyds Metals and Energy Limited,Basic Materials,1140.8,37884.25,70104.42,74777.15,991.35,3220.8,97.0,Strong Buy,Undervalued,9.3,10.0,0.5,21357.56,137542.21
MUTHOOTFIN,Muthoot Finance Limited,Financial Services,3333.2,87118.62,156561.32,171756.42,2480.82,2513.7,96.2,Strong Buy,Undervalued,7.1,10.2,0.54,56208.76,317694.3
RECLTD,REC Limited,Financial Services,331.5,8072.34,9106.82,15863.07,281.61,2335.1,95.9,Strong Buy,Undervalued,5.3,10.0,0.5,2982.23,42256.39
CGCL,Capri Global Capital Limited,Financial Services,170.09,3553.3,6323.96,6981.81,124.78,1989.1,95.2,Strong Buy,Undervalued,6.8,10.0,0.5,2357.6,12921.71
DBREALTY,Valor Estate Limited,Real Estate,98.92,1977.94,3644.23,3856.53,99.35,1899.5,95.0,Strong Buy,Undervalued,9.5,10.0,0.5,1149.12,6988.55
RELINFRA,Reliance Infrastructure Limited,Utilities,85.5,1689.47,3352.41,3311.43,67.51,1876.0,94.9,Strong Buy,Undervalued,11.2,11.2,0.7,2414.6,4126.31
ABCAPITAL,Aditya Birla Capital Limited,Financial Services,310.75,4724.27,8495.64,9245.58,202.96,1420.3,93.4,Strong Buy,Undervalued,6.6,10.3,0.54,3534.17,16456.87
IIFL,IIFL Finance Limited,Financial Services,477.45,6908.2,11999.67,13542.58,273.83,1346.9,93.1,Strong Buy,Undervalued,6.5,10.0,0.5,3826.11,26344.89
PRESTIGE,Prestige Estates Projects Limited,Real Estate,1257.0,14128.69,25358.97,27244.89,1012.5,1024.0,91.1,Strong Buy,Undervalued,9.2,10.0,0.5,8166.52,50095.1
ABFRL,Aditya Birla Fashion and Retail Limited,Consumer Cyclical,59.28,605.75,128.05,139.75,1071.74,921.8,90.2,Strong Buy,Undervalued,8.9,10.0,0.5,227.62,75.26
HOMEFIRST,Home First Finance Company India Limited,Financial Services,987.7,8058.28,14530.79,15374.09,742.48,715.9,87.7,Strong Buy,Undervalued,7.0,10.0,0.5,6591.89,25842.9
GRASIM,Grasim Industries Limited,Basic Materials,2568.6,20687.27,35914.4,39112.11,2262.43,705.4,87.6,Strong Buy,Undervalued,6.6,10.0,0.5,14776.68,69842.95
PTCIL,PTC Industries Limited,Industrials,16999.0,134801.29,241033.13,255409.5,14193.08,693.0,87.4,Strong Buy,Undervalued,10.0,10.0,0.5,77040.93,462530.81
FIRSTCRY,BRAINBEES SOLUTIONS LTD,Consumer Cyclical,223.65,1713.01,1617.74,1581.01,1845.01,665.9,86.9,Strong Buy,Undervalued,12.2,13.0,1.0,482.14,2606.4
AAVAS,Aavas Financiers Limited,Financial Services,1169.8,8312.88,14180.28,15809.55,816.21,610.6,85.9,Strong Buy,Undervalued,6.2,10.0,0.5,6173.76,28703.88
BAJAJFINSV,Bajaj Finserv Ltd.,Financial Services,1738.0,12173.72,22427.89,22973.62,1373.82,600.4,85.7,Strong Buy,Undervalued,7.7,10.0,0.5,11359.94,35678.78
GODREJIND,Godrej Industries Limited,Industrials,837.95,5847.15,9708.06,10921.69,772.61,597.8,85.7,Strong Buy,Undervalued,6.1,10.0,0.5,4256.3,20014.34
SBILIFE,SBI Life Insurance Company Limited,Financial Services,1904.4,12679.36,15167.12,23880.69,1478.04,565.8,85.0,Strong Buy,Undervalued,10.0,10.0,0.5,0.0,65188.52
TMPV,Tata Motors Passenger Vehicles Limited,Consumer Cyclical,314.1,2052.51,0.0,0.0,2052.51,553.5,84.7,Strong Buy,Undervalued,8.7,10.5,0.59,0.0,0.0
WAAREEENER,WAAREE ENERGIES LIMITED,Technology,2726.6,16709.6,29891.93,31027.85,2391.35,512.8,83.7,Strong Buy,Undervalued,12.7,13.0,1.0,11078.98,53248.58
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,Financial Services,1514.0,8903.69,16085.65,16762.01,1045.38,488.1,83.0,Strong Buy,Undervalued,7.0,10.0,0.5,7881.22,26995.52
PNBHOUSING,PNB Housing Finance Limited,Financial Services,763.9,4207.55,7932.99,7955.38,459.71,450.8,81.8,Strong Buy,Undervalued,8.1,10.0,0.5,4626.94,11328.59
BAJAJHFL,BAJAJ HOUSING FINANCE LTD,Financial Services,82.15,420.21,766.28,783.17,57.25,411.5,80.5,Strong Buy,Undervalued,7.6,13.0,1.0,388.49,1211.65
SBICARD,SBI Cards and Payment Services Limited,Financial Services,704.9,3498.02,6321.49,6452.27,543.76,396.2,79.8,Strong Buy,Undervalued,7.8,10.0,0.5,3261.76,9904.34
ALOKINDS,Alok Industries Limited,Consumer Cyclical,13.03,64.09,24.33,101.91,26.28,391.9,79.7,Strong Buy,Undervalued,5.0,10.0,0.5,0.0,358.98
M&MFIN,Mahindra & Mahindra Financial Services Limited,Financial Services,330.2,1626.55,2974.94,3057.32,195.77,392.6,79.7,Strong Buy,Undervalued,7.1,10.0,0.5,1539.84,4739.54
RBLBANK,RBL Bank Limited,Financial Services,294.75,1433.95,2621.41,2626.19,241.72,386.5,79.4,Strong Buy,Undervalued,11.0,10.9,0.64,1433.24,3828.72
HBLENGINE,HBL ENGINEERING LTD,Industrials,658.5,2968.8,5179.64,5379.13,558.46,350.8,77.8,Strong Buy,Undervalued,10.0,10.0,0.5,2086.58,9070.66
NETWEB,Netweb Technologies India Limited,Technology,3176.0,14134.68,23878.27,25412.65,2856.71,345.0,77.5,Strong Buy,Undervalued,17.3,17.4,1.73,7545.54,46348.52
APTUS,Aptus Value Housing Finance India Limited,Financial Services,222.01,968.79,1743.75,1764.79,172.79,336.4,77.1,Strong Buy,Undervalued,8.2,10.0,0.5,946.21,2625.46
MCX,Multi Commodity Exchange of India Limited,Financial Services,2498.8,10632.35,18305.84,18810.53,2454.18,325.5,76.5,Strong Buy,Undervalued,10.2,10.2,0.54,7550.2,31080.23
HCLTECH,HCL Technologies Limited,Technology,1325.4,5543.98,7063.78,6968.69,4119.27,318.3,76.1,Strong Buy,Undervalued,10.0,10.0,0.5,5899.21,7847.98
SHRIRAMFIN,Shriram Finance Limited,Financial Services,1003.6,4091.09,7439.46,7421.7,760.47,307.6,75.5,Strong Buy,Undervalued,9.2,10.1,0.51,4407.09,10400.77
SBFC,SBFC Finance Limited,Financial Services,90.95,365.95,646.22,660.52,71.38,302.4,75.1,Strong Buy,Undervalued,7.6,10.0,0.5,341.77,1007.86
LTF,L&T Finance Limited,Financial Services,258.0,989.35,1697.89,1799.77,178.93,283.5,73.9,Strong Buy,Undervalued,6.8,10.2,0.53,705.25,3098.06
CENTRALBK,Central Bank of India,Financial Services,35.5,129.72,231.26,228.97,30.47,265.4,72.6,Strong Buy,Undervalued,10.6,10.0,0.5,164.36,289.0
SUNDARMFIN,Sundaram Finance Limited,Financial Services,5138.5,18133.38,31974.81,32465.12,3801.65,252.9,71.7,Strong Buy,Undervalued,7.7,10.0,0.5,17078.26,48832.61
SCI,The Shipping Corporation of India Limited,Industrials,238.9,829.62,1438.02,1442.58,216.67,247.3,71.2,Strong Buy,Undervalued,8.9,10.0,0.5,842.54,2051.72
FIVESTAR,Five-Star Business Finance Limited,Financial Services,353.2,1202.95,2084.89,2127.73,278.18,240.6,70.6,Strong Buy,Undervalued,7.2,10.0,0.5,1223.6,3117.54
NIVABUPA,Niva Bupa Health Insurance Company Limited,Financial Services,72.3,245.18,401.17,411.01,79.35,239.1,70.5,Strong Buy,Undervalued,13.0,13.0,1.0,163.72,677.99
CHENNPETRO,Chennai Petroleum Corporation Limited,Energy,918.2,3064.09,5144.78,5213.97,914.21,233.7,70.0,Strong Buy,Undervalued,9.9,10.0,0.5,2056.26,8510.05
ENGINERSIN,Engineers India Limited,Industrials,189.01,623.05,1055.1,1068.52,177.58,229.6,69.7,Strong Buy,Undervalued,11.2,11.2,0.7,527.64,1636.22
ETERNAL,Eternal Limited,Consumer Cyclical,215.68,694.01,874.75,1262.12,125.9,221.8,68.9,Strong Buy,Undervalued,9.9,10.0,0.5,0.0,3298.98
BAJAJHLDNG,Bajaj Holdings & Investment Limited,Financial Services,9506.0,29798.53,50156.81,51032.33,8564.73,213.5,68.1,Strong Buy,Undervalued,10.0,10.0,0.5,22755.69,81060.03
JIOFIN,Jio Financial Services Limited,Financial Services,235.25,684.7,1156.89,1171.06,198.35,191.1,65.6,Strong Buy,Undervalued,9.6,10.0,0.5,578.18,1792.26
SJVN,SJVN Limited,Utilities,69.89,196.9,338.65,339.36,54.43,181.7,64.5,Strong Buy,Undervalued,6.8,10.0,0.5,126.52,553.6
CANFINHOME,Can Fin Homes Limited,Financial Services,819.65,2269.06,3728.09,4144.19,393.93,176.8,63.9,Strong Buy,Undervalued,6.3,10.0,0.5,733.4,8387.16
MRPL,Mangalore Refinery and Petrochemicals Limited,Energy,178.14,478.87,771.89,775.02,182.71,168.8,62.8,Strong Buy,Undervalued,9.1,10.0,0.5,363.88,1192.4
HINDCOPPER,Hindustan Copper Limited,Basic Materials,496.3,1233.59,2004.21,2056.81,410.37,148.6,59.8,Strong Buy,Undervalued,16.5,16.5,1.59,821.49,3397.33
BBTC,The Bombay Burmah Trading Corporation Limited,Consumer Defensive,1527.3,3687.7,5946.49,5934.32,1441.08,141.5,58.6,Strong Buy,Undervalued,9.0,10.0,0.5,3539.8,8304.51
360ONE,360 One Wam Limited,Financial Services,1027.4,2393.8,3922.46,3948.37,839.24,133.0,57.1,Strong Buy,Undervalued,8.7,10.0,0.5,2133.27,5815.27
ASHOKLEY,Ashok Leyland Limited,Industrials,170.65,376.72,604.92,612.29,141.16,120.8,54.7,Strong Buy,Undervalued,8.4,10.0,0.5,299.73,939.58
MFSL,Max Financial Services Limited,Financial Services,1628.1,3338.39,5116.14,5280.6,1396.17,105.0,51.2,Strong Buy,Undervalued,10.5,10.5,0.58,0.0,10890.14
MAHABANK,Bank of Maharashtra,Financial Services,64.09,131.03,211.87,210.22,51.83,104.4,51.1,Strong Buy,Undervalued,10.9,10.6,0.6,126.25,290.88
ANGELONE,Angel One Limited,Financial Services,215.58,437.03,686.31,681.8,192.27,102.7,50.7,Strong Buy,Undervalued,8.9,10.0,0.5,518.65,835.93
CHAMBLFERT,Chambal Fertilisers and Chemicals Limited,Basic Materials,415.55,840.71,1311.96,1312.93,368.49,102.3,50.6,Strong Buy,Undervalued,10.0,10.0,0.5,730.79,1897.01
TBOTEK,TBO TEK LIMITED,Consumer Cyclical,1162.4,2350.91,3590.72,3732.02,969.8,102.2,50.6,Strong Buy,Undervalued,12.5,13.0,1.0,1385.73,6360.92
JSWENERGY,JSW Energy Limited,Utilities,512.95,1020.9,1589.46,1666.3,375.51,99.0,49.8,Strong Buy,Undervalued,7.3,10.0,0.5,504.68,2981.58
HAPPSTMNDS,Happiest Minds Technologies Limited,Technology,393.25,765.52,1190.74,1197.56,333.48,94.7,48.6,Strong Buy,Undervalued,10.0,10.0,0.5,643.71,1765.05
J&KBANK,Jammu and Kashmir Bank Limited,Financial Services,120.81,234.96,368.33,364.26,105.66,94.5,48.6,Strong Buy,Undervalued,10.2,10.0,0.5,292.45,427.92
BAJFINANCE,Bajaj Finance Limited,Financial Services,855.05,1646.4,2630.5,2621.71,671.1,92.6,48.1,Strong Buy,Undervalued,8.3,10.0,0.5,1682.15,3543.69
M&M,Mahindra & Mahindra Limited,Consumer Cyclical,2931.1,5604.75,8701.54,8803.57,2405.93,91.2,47.7,Strong Buy,Undervalued,8.7,10.0,0.5,4299.56,13511.63
PVRINOX,PVR INOX Limited,Communication Services,973.9,1856.81,2631.22,2607.03,1106.59,90.7,47.5,Strong Buy,Undervalued,9.1,10.0,0.5,1557.23,3608.46
INDIACEM,The India Cements Limited,Basic Materials,354.3,671.57,1077.0,842.24,500.89,89.5,47.2,Strong Buy,Undervalued,10.1,10.0,0.5,347.25,867.7
COHANCE,COHANCE LIFESCIENCES LTD,Healthcare,296.1,557.45,872.63,899.36,215.54,88.3,46.9,Strong Buy,Undervalued,9.8,10.0,0.5,346.25,1505.94
IOB,Indian Overseas Bank,Financial Services,32.61,60.69,95.94,94.87,26.5,86.1,46.3,Strong Buy,Undervalued,10.5,10.0,0.5,60.32,127.28
KIRLOSENG,Kirloskar Oil Engines Limited,Industrials,1451.3,2639.68,4076.27,4091.27,1188.09,81.9,45.0,Strong Buy,Undervalued,9.5,10.5,0.58,2143.16,6069.39
UNIONBANK,Union Bank of India,Financial Services,173.88,316.18,488.88,483.06,149.3,81.8,45.0,Strong Buy,Undervalued,12.4,13.0,1.0,346.33,608.15
APOLLOTYRE,Apollo Tyres Limited,Consumer Cyclical,400.3,718.43,1083.44,1077.85,359.02,79.5,44.3,Strong Buy,Undervalued,9.6,10.0,0.5,632.82,1511.68
REDINGTON,Redington Limited,Technology,234.55,420.09,598.81,621.18,219.01,79.1,44.2,Strong Buy,Undervalued,11.2,11.5,0.76,86.55,1200.56
