symbol,name,type,sector,industry,cmp,change_pct,market_cap_cr,promoter_holding_pct,pe_ratio,pb_ratio,roe_pct,debt_to_equity,dividend_yield_pct,revenue_growth_pct,earnings_growth_pct,fcf_cr,52w_high,52w_low,pct_from_52w_high,target_price,analyst_upside_pct,fundamental_score,valuation_grade,valuation_detail,trend,rsi,vwap,supertrend,supertrend_signal,signal,signal_strength,signal_details,risk_level,risk_score,volatility_ann,volatility_percentile,daily_return_pct,bb_pct_b,bb_width_pct,atr_pct,max_drawdown_pct,current_drawdown_pct,ma50_deviation_pct,ma200_deviation_pct,intrinsic_value,dcf_upside_pct,wacc_used,fcf_growth_used,recommendation,recommendation_rank,rationale
INDIAMART.NS,INDIAMART,STOCK,Unknown,,1985.0,-2.17,11923.9,50.5,19.8,5.1,,1.1,148.0,13.4,55.2,,2799.0,1900.1,-29.1,2552.9443,28.6,77.62500000000001,FAIR,"PE: fair, PB: expensive",BEARISH,31.7,2113.53,2217.33,SELL,SELL,-5,Momentum falling | MACD negative | Price below VWAP (2114) | Supertrend SELL,MEDIUM,61,25.6,62.7,-2.17,-7.7,11.4,3.35,-27.6,-27.6,-8.59,-16.71,3969.59,100.0,11.0,31.5,STRONG BUY,0,Strong fundamentals (78/100). Fairly valued. Bearish trend. Medium risk (score 61/100). Analysts see 29% upside
SBIN.NS,SBIN,STOCK,Unknown,,1057.8,0.85,976414.8,56.9,11.5,1.65,,,152.0,14.5,9.3,,1234.7,730.0,-14.3,1207.8206,14.2,58.12500000000001,CHEAP,"PE: cheap, PB: cheap",WEAK,36.8,1133.74,1151.33,SELL,HOLD,0,Momentum rising | MACD negative | Price below VWAP (1134) | Supertrend SELL,LOW,34,24.5,80.3,0.85,20.3,22.88,2.76,-14.7,-13.8,-4.34,13.41,577.83,-45.4,10.0,-0.9,STRONG BUY,0,Good fundamentals (58/100). Attractively valued. Weak price trend. Low risk (score 34/100)
NTPC.NS,NTPC,STOCK,Unknown,,380.95,1.84,369394.5,53.3,21.1,1.92,,127.8,303.0,1.8,1.6,,394.5,315.55,-3.4,421.19232,10.6,45.62500000000001,CHEAP,"PE: fair, PB: cheap",BULLISH,55.6,379.58,365.77,BUY,HOLD,1,Price above VWAP (380) | Supertrend BUY | MACD negative,LOW,31,26.4,96.9,1.84,57.2,5.39,2.47,-11.6,-2.5,4.94,13.14,,,,,STRONG BUY,0,Average fundamentals (46/100). Attractively valued. Bullish trend. Low risk (score 31/100)
JUSTDIAL.NS,JUSTDIAL,STOCK,Unknown,,522.05,1.08,4440.7,74.2,7.7,0.91,,1.9,,6.4,5.9,,1048.9,508.9,-50.2,1035.7142,98.4,72.62500000000001,CHEAP,"PE: cheap, PB: cheap",BEARISH,32.4,547.26,571.92,SELL,HOLD,0,RSI oversold | MACD positive | Price below VWAP (547) | Supertrend SELL,HIGH,67,32.4,79.8,1.08,30.1,20.41,3.63,-50.2,-49.2,-16.54,-32.11,1370.91,162.6,11.9,35.0,STRONG BUY,0,Strong fundamentals (73/100). Attractively valued. Bearish trend. High risk (score 67/100). Analysts see 98% upside
GANDHITUBE.NS,GANDHITUBE,STOCK,Unknown,,808.95,0.95,986.6,76.7,13.8,3.43,,0.0,187.0,21.8,29.9,,1031.8,618.6,-21.6,,,75.62500000000001,CHEAP,"PE: cheap, PB: fair",WEAK,48.2,840.58,759.85,BUY,HOLD,2,Momentum rising | Supertrend BUY | MACD negative | Price below VWAP (841),MEDIUM,41,39.1,70.0,0.95,31.9,19.04,4.49,-30.5,-19.4,1.82,1.3,532.04,-34.2,13.9,14.7,STRONG BUY,0,Strong fundamentals (76/100). Attractively valued. Weak price trend. Medium risk (score 41/100)
HEROMOTOCO.NS,HEROMOTOCO,STOCK,Unknown,,5267.5,1.84,105397.3,37.6,19.4,5.02,,3.4,338.0,21.7,14.4,,6388.5,3344.0,-17.5,6133.206,16.4,63.125000000000014,FAIR,"PE: fair, PB: expensive",WEAK,42.0,5491.14,5800.2,SELL,SELL,-3,MACD negative | Price below VWAP (5491) | Supertrend SELL,MEDIUM,49,38.4,100.0,1.44,18.1,12.55,3.38,-17.0,-15.8,-4.73,1.71,5532.41,5.0,10.4,24.3,ACCUMULATE,1,Good fundamentals (63/100). Fairly valued. Weak price trend. Medium risk (score 49/100). Analysts see 16% upside
HDFCAMC.NS,HDFCAMC,STOCK,Unknown,,2390.0,-0.46,102378.0,56.5,35.7,13.22,,,187.0,20.1,19.7,,2967.25,1783.425,-19.5,3057.5,27.9,72.37500000000001,EXPENSIVE,"PE: expensive, PB: very expensive",BEARISH,36.8,2521.16,2615.61,SELL,SELL,-3,MACD negative | Price below VWAP (2521) | Supertrend SELL,MEDIUM,44,32.1,81.1,-0.46,21.8,21.27,3.22,-19.6,-18.9,-7.97,-10.92,1303.35,-45.5,10.0,18.5,ACCUMULATE,1,Strong fundamentals (72/100). Expensively valued. Bearish trend. Medium risk (score 44/100). Analysts see 28% upside
HCLTECH.NS,HCLTECH,STOCK,Unknown,,1342.0,2.3,363098.6,62.7,22.1,4.8,23.2,9.7,412.0,7.4,-15.9,187.0,1780.1,1297.7,-24.6,1693.7073,26.2,52.58333333333334,FAIR,"PE: fair, PB: expensive",BEARISH,37.8,1364.17,1408.34,SELL,HOLD,-1,MACD positive | Price below VWAP (1364) | Supertrend SELL,MEDIUM,49,31.6,84.6,2.15,35.3,9.0,2.98,-24.2,-22.5,-11.58,-12.71,90630.03,6653.4,9.7,0.5,ACCUMULATE,1,Average fundamentals (53/100). Fairly valued. Bearish trend. Medium risk (score 49/100). Analysts see 26% upside
ITC.NS,ITC,STOCK,Unknown,,299.8,0.6,375626.3,27.3,18.4,5.29,,0.5,482.0,6.7,0.0,,444.2,297.1,-32.5,367.78787,22.7,68.54166666666669,FAIR,"PE: fair, PB: expensive",BEARISH,35.3,309.26,318.0,SELL,SELL,-3,MACD negative | Price below VWAP (309) | Supertrend SELL,MEDIUM,50,16.2,59.6,0.57,15.7,10.51,2.13,-30.0,-29.6,-5.36,-20.87,176.21,-41.2,10.0,2.4,ACCUMULATE,1,Good fundamentals (69/100). Fairly valued. Bearish trend. Medium risk (score 50/100). Analysts see 23% upside
ICICIBANK.NS,ICICIBANK,STOCK,Unknown,,1249.1,-0.08,894180.0,3.0,17.1,2.56,16.8,,88.0,3.0,-3.7,,1500.0,1240.1,-16.7,1708.4615,36.8,54.375,FAIR,"PE: fair, PB: fair",BEARISH,31.9,1325.28,1358.77,SELL,SELL,-5,Momentum falling | MACD negative | Price below VWAP (1325) | Supertrend SELL,MEDIUM,48,24.4,93.4,-0.08,15.4,16.85,2.37,-15.4,-15.4,-8.63,-10.19,4026.81,222.4,10.0,15.3,ACCUMULATE,1,Average fundamentals (54/100). Fairly valued. Bearish trend. Medium risk (score 48/100). Analysts see 37% upside
