symbol,name,type,sector,industry,cmp,change_pct,market_cap_cr,promoter_holding_pct,pe_ratio,pb_ratio,roe_pct,debt_to_equity,dividend_yield_pct,revenue_growth_pct,earnings_growth_pct,fcf_cr,52w_high,52w_low,pct_from_52w_high,target_price,analyst_upside_pct,fundamental_score,valuation_grade,valuation_detail,trend,rsi,vwap,supertrend,supertrend_signal,signal,signal_strength,signal_details,risk_level,risk_score,volatility_ann,volatility_percentile,daily_return_pct,bb_pct_b,bb_width_pct,atr_pct,max_drawdown_pct,current_drawdown_pct,ma50_deviation_pct,ma200_deviation_pct,intrinsic_value,dcf_upside_pct,wacc_used,fcf_growth_used,recommendation,recommendation_rank,rationale
SBIN.NS,SBIN,STOCK,Unknown,,1058.0,0.87,976599.3,56.9,11.5,1.65,,,150.0,14.5,9.3,,1234.7,730.0,-14.3,1207.8206,14.2,58.12500000000001,CHEAP,"PE: cheap, PB: cheap",WEAK,36.8,1133.74,1151.33,SELL,HOLD,0,Momentum rising | MACD negative | Price below VWAP (1134) | Supertrend SELL,LOW,34,24.5,80.7,0.87,20.4,22.88,2.76,-14.7,-13.8,-4.32,13.43,577.83,-45.4,10.0,-0.9,STRONG BUY,0,Good fundamentals (58/100). Attractively valued. Weak price trend. Low risk (score 34/100)
ARE&M.NS,ARE&M,STOCK,Unknown,,759.15,-1.3,13895.9,33.3,18.7,1.8,,4.0,142.0,4.2,-53.0,,1109.0,755.5,-31.5,975.75,28.5,55.45833333333334,CHEAP,"PE: fair, PB: cheap",BEARISH,30.2,804.34,827.69,SELL,SELL,-5,Momentum falling | MACD negative | Price below VWAP (804) | Supertrend SELL,MEDIUM,55,20.1,48.9,-1.3,13.8,16.5,2.72,-29.5,-29.5,-9.8,-19.15,68.75,-90.9,11.1,-5.0,STRONG BUY,0,Good fundamentals (55/100). Attractively valued. Bearish trend. Medium risk (score 55/100). Analysts see 29% upside
NTPC.NS,NTPC,STOCK,Unknown,,380.95,1.84,369394.5,53.3,21.1,1.92,,127.8,298.0,1.8,1.6,,394.5,315.55,-3.4,421.3846,10.6,45.62500000000001,CHEAP,"PE: fair, PB: cheap",BULLISH,55.6,379.58,365.77,BUY,HOLD,1,Price above VWAP (380) | Supertrend BUY | MACD negative,LOW,31,26.4,96.9,1.84,57.2,5.39,2.47,-11.6,-2.5,4.94,13.14,,,,,STRONG BUY,0,Average fundamentals (46/100). Attractively valued. Bullish trend. Low risk (score 31/100)
M&M.NS,M&M,STOCK,Unknown,,3066.1,0.68,368077.0,25.3,21.9,4.13,,132.3,83.0,26.4,46.8,,3839.9,2425.0,-20.2,4312.2354,40.6,52.62500000000001,FAIR,"PE: fair, PB: expensive",BEARISH,39.4,3195.42,3334.4,SELL,HOLD,0,Momentum rising | MACD negative | Price below VWAP (3195) | Supertrend SELL,MEDIUM,55,44.4,99.6,0.68,22.1,20.52,3.53,-22.9,-19.4,-10.9,-10.71,,,,,ACCUMULATE,1,Average fundamentals (53/100). Fairly valued. Bearish trend. Medium risk (score 55/100). Analysts see 41% upside
JIOFIN.NS,JIOFIN,STOCK,Unknown,,239.3,-0.06,152030.7,48.3,94.2,1.12,,7.8,21.0,57.3,-8.7,,338.6,203.1,-29.3,312.5,30.6,61.875000000000014,FAIR,"PE: very expensive, PB: cheap",BEARISH,41.2,243.33,250.0,SELL,SELL,-4,Momentum falling | Price below VWAP (243) | Supertrend SELL,MEDIUM,51,31.4,78.0,-0.06,34.2,14.25,3.09,-30.3,-28.2,-7.69,-19.29,,,,,ACCUMULATE,1,Good fundamentals (62/100). Fairly valued. Bearish trend. Medium risk (score 51/100). Analysts see 31% upside
ITC.NS,ITC,STOCK,Unknown,,299.95,0.65,375814.3,27.3,18.4,5.29,,0.5,478.0,6.7,0.0,,444.2,297.1,-32.5,367.78787,22.6,68.54166666666669,FAIR,"PE: fair, PB: expensive",BEARISH,35.7,309.27,318.0,SELL,SELL,-3,MACD negative | Price below VWAP (309) | Supertrend SELL,MEDIUM,50,16.3,60.1,0.65,16.1,10.49,2.13,-30.0,-29.6,-5.31,-20.83,176.21,-41.3,10.0,2.4,ACCUMULATE,1,Good fundamentals (69/100). Fairly valued. Bearish trend. Medium risk (score 50/100). Analysts see 23% upside
RATEGAIN.NS,RATEGAIN,STOCK,Unknown,,481.6,-0.88,5685.6,50.4,31.7,3.13,,0.8,,93.8,-52.8,,741.6,412.85,-35.1,719.875,49.5,58.45833333333334,FAIR,"PE: expensive, PB: fair",BEARISH,39.0,502.48,539.85,SELL,HOLD,-1,MACD positive | Price below VWAP (502) | Supertrend SELL,HIGH,72,50.4,87.7,-0.88,27.4,16.49,5.12,-35.0,-33.3,-15.46,-16.54,420.74,-12.6,11.0,35.0,ACCUMULATE,1,Good fundamentals (58/100). Fairly valued. Bearish trend. High risk (score 72/100). Analysts see 49% upside
NAUKRI.NS,NAUKRI,STOCK,Unknown,,978.2,0.78,63338.5,47.4,47.2,1.3,,0.5,98.0,13.4,12.3,,1550.0,930.5,-36.9,1435.2382,46.7,63.375000000000014,FAIR,"PE: very expensive, PB: cheap",BEARISH,36.1,1003.65,1028.53,SELL,HOLD,-1,MACD positive | Price below VWAP (1004) | Supertrend SELL,MEDIUM,62,32.1,77.6,0.78,37.1,15.28,3.56,-37.7,-35.9,-14.29,-25.8,221.74,-77.3,10.0,7.9,ACCUMULATE,1,Good fundamentals (63/100). Fairly valued. Bearish trend. Medium risk (score 62/100). Analysts see 47% upside
RELIANCE.NS,RELIANCE,STOCK,Unknown,,1414.4,2.14,1914032.9,51.0,23.0,2.18,,35.7,39.0,10.4,0.6,,1611.8,1114.85,-12.2,1720.0857,21.6,44.37500000000001,FAIR,"PE: fair, PB: fair",WEAK,51.5,1392.77,1424.64,SELL,HOLD,1,MACD positive | Price above VWAP (1393) | Supertrend SELL,LOW,31,23.9,87.3,2.14,69.2,5.95,2.35,-15.5,-11.2,-0.31,-2.29,1355.12,-4.2,9.1,32.9,ACCUMULATE,1,Average fundamentals (44/100). Fairly valued. Weak price trend. Low risk (score 31/100). Analysts see 22% upside
ICICIBANK.NS,ICICIBANK,STOCK,Unknown,,1245.4,-0.38,891531.3,3.0,17.0,2.55,16.8,,88.0,3.0,-3.7,,1500.0,1240.1,-17.0,1708.4615,37.2,54.375,FAIR,"PE: fair, PB: fair",BEARISH,31.4,1325.22,1358.77,SELL,SELL,-5,Momentum falling | MACD negative | Price below VWAP (1325) | Supertrend SELL,MEDIUM,48,24.3,93.4,-0.38,14.0,16.93,2.38,-15.7,-15.7,-8.89,-10.45,4026.81,223.3,10.0,15.3,ACCUMULATE,1,Average fundamentals (54/100). Fairly valued. Bearish trend. Medium risk (score 48/100). Analysts see 37% upside
HEROMOTOCO.NS,HEROMOTOCO,STOCK,Unknown,,5275.5,1.99,105557.4,37.6,19.4,5.03,,3.4,332.0,21.7,14.4,,6388.5,3344.0,-17.4,6119.206,16.0,63.125000000000014,FAIR,"PE: fair, PB: expensive",WEAK,43.0,5492.12,5800.2,SELL,HOLD,0,Momentum rising | MACD negative | Price below VWAP (5492) | Supertrend SELL,MEDIUM,49,38.7,100.0,1.99,18.7,12.41,3.37,-17.0,-15.3,-4.59,1.86,5532.41,4.9,10.4,24.3,ACCUMULATE,1,Good fundamentals (63/100). Fairly valued. Weak price trend. Medium risk (score 49/100). Analysts see 16% upside
HDFCAMC.NS,HDFCAMC,STOCK,Unknown,,2385.9,-0.63,102212.0,56.5,35.7,13.2,,,189.0,20.1,19.7,,2967.25,1783.425,-19.6,3057.5,28.1,72.37500000000001,EXPENSIVE,"PE: expensive, PB: very expensive",BEARISH,36.6,2521.1,2615.61,SELL,SELL,-3,MACD negative | Price below VWAP (2521) | Supertrend SELL,MEDIUM,44,32.1,81.1,-0.63,21.2,21.31,3.22,-19.6,-19.0,-8.13,-11.07,1303.22,-45.4,10.0,18.5,ACCUMULATE,1,Strong fundamentals (72/100). Expensively valued. Bearish trend. Medium risk (score 44/100). Analysts see 28% upside
HCLTECH.NS,HCLTECH,STOCK,Unknown,,1333.7,1.67,360852.9,62.7,22.0,4.78,23.2,9.7,405.0,7.4,-15.9,187.0,1780.1,1297.7,-25.1,1680.2927,26.0,52.58333333333334,FAIR,"PE: fair, PB: expensive",BEARISH,36.4,1364.01,1408.34,SELL,HOLD,2,Momentum rising | MACD positive | Price below VWAP (1364) | Supertrend SELL,MEDIUM,49,31.2,83.3,1.67,28.9,9.07,2.99,-24.2,-22.9,-12.12,-13.25,90630.03,6695.4,9.7,0.5,ACCUMULATE,1,Average fundamentals (53/100). Fairly valued. Bearish trend. Medium risk (score 49/100). Analysts see 26% upside
CIPLA.NS,CIPLA,STOCK,Unknown,,1256.4,1.39,101489.6,31.0,22.3,3.08,,1.4,103.0,0.0,-57.0,,1673.0,1235.4,-24.9,1446.3055,15.1,62.125000000000014,FAIR,"PE: fair, PB: fair",BEARISH,31.7,1318.33,1327.84,SELL,HOLD,1,Momentum rising | RSI oversold | MACD negative | Price below VWAP (1318) | Supertrend SELL,MEDIUM,50,18.7,54.8,1.39,2.1,9.54,2.1,-25.5,-24.5,-6.59,-15.05,446.1,-64.5,10.0,-5.0,ACCUMULATE,1,Good fundamentals (62/100). Fairly valued. Bearish trend. Medium risk (score 50/100). Analysts see 15% upside
EBBETF0433.NS,EBBETF0433,ETF,ETF/Index,,1276.9,,,,,,,,,,,,1315.12,1199.25,-2.9,,,,N/A,ETF — no valuation scoring,BULLISH,51.2,1278.26,1263.87,BUY,HOLD,-1,Supertrend BUY | MACD negative | Price below VWAP (1278),LOW,20,5.1,96.5,-0.08,45.6,0.75,0.63,-1.4,-1.0,0.23,1.14,,,,,ACCUMULATE,1,Uptrend intact — continue SIP/accumulate on dips
HDFCNEXT50.NS,HDFCNEXT50,ETF,ETF/Index,,65.15,,,,,,,,,,,,73.0,59.0,-10.8,,,,N/A,ETF — no valuation scoring,BEARISH,33.9,67.89,70.71,SELL,HOLD,-2,RSI oversold | MACD negative | Price below VWAP (68) | Supertrend SELL,MEDIUM,42,22.0,93.8,0.0,10.6,12.71,2.39,-9.6,-9.6,-6.08,-6.09,,,,,HOLD,2,Index ETF — hold for long-term; temporary weakness
HDFCMOMENT.NS,HDFCMOMENT,ETF,ETF/Index,,28.65,,,,,,,,,,,,33.23,25.5,-13.8,,,,N/A,ETF — no valuation scoring,BEARISH,33.6,30.09,31.34,SELL,HOLD,-2,RSI oversold | MACD negative | Price below VWAP (30) | Supertrend SELL,MEDIUM,48,22.3,93.8,-2.02,12.4,15.17,2.72,-11.9,-11.9,-7.2,-8.25,,,,,HOLD,2,Index ETF — hold for long-term; temporary weakness
LOWVOL.NS,LOWVOL,ETF,ETF/Index,,193.06,,,,,,,,,,,,219.1,180.04,-11.9,,,,N/A,ETF — no valuation scoring,BEARISH,31.1,196.79,202.54,SELL,HOLD,1,Momentum rising | RSI oversold | MACD negative | Price below VWAP (197) | Supertrend SELL,MEDIUM,37,19.1,100.0,0.79,14.4,14.22,1.4,-12.4,-11.7,-7.43,-7.47,,,,,HOLD,2,Index ETF — hold for long-term; temporary weakness
MAFANG.NS,MAFANG,ETF,ETF/Index,,159.12,,,,,,,,,,,,178.78,100.0,-11.0,,,,N/A,ETF — no valuation scoring,WEAK,49.7,156.99,155.97,BUY,HOLD,0,MACD positive | Price above VWAP (157) | Supertrend BUY | Momentum falling,LOW,23,18.9,44.9,-0.66,60.2,9.87,1.34,-15.6,-11.0,-1.03,-0.9,,,,,HOLD,2,Index ETF — hold for long-term; temporary weakness
MOM100.NS,MOM100,ETF,ETF/Index,,59.13,,,,,,,,,,,,69.2,50.5,-14.6,,,,N/A,ETF — no valuation scoring,BEARISH,36.4,61.53,66.1,SELL,HOLD,0,Momentum rising | MACD negative | Price below VWAP (62) | Supertrend SELL,MEDIUM,47,22.3,88.5,0.1,16.5,12.15,3.33,-10.9,-10.6,-6.07,-6.53,,,,,HOLD,2,Index ETF — hold for long-term; temporary weakness
MON100.NS,MON100,ETF,ETF/Index,,225.96,,,,,,,,,,,,258.8,159.3,-12.7,,,,N/A,ETF — no valuation scoring,WEAK,51.7,222.38,234.78,SELL,HOLD,1,MACD positive | Price above VWAP (222) | Supertrend SELL,LOW,28,21.3,70.2,1.24,67.8,6.49,2.81,-13.2,-9.7,-1.17,3.4,,,,,HOLD,2,Index ETF — hold for long-term; temporary weakness
NIFTYBEES.NS,NIFTYBEES,ETF,ETF/Index,,262.07,,,,,,,,,,,,302.25,231.3,-13.3,,,,N/A,ETF — no valuation scoring,BEARISH,29.7,273.42,279.39,SELL,HOLD,-2,RSI oversold | MACD negative | Price below VWAP (273) | Supertrend SELL,MEDIUM,40,18.1,92.5,-0.02,14.1,14.11,1.86,-11.9,-11.9,-7.78,-8.2,,,,,HOLD,2,Index ETF — hold for long-term; temporary weakness
