symbol,name,type,sector,industry,cmp,change_pct,market_cap_cr,promoter_holding_pct,pe_ratio,pb_ratio,roe_pct,debt_to_equity,dividend_yield_pct,revenue_growth_pct,earnings_growth_pct,fcf_cr,52w_high,52w_low,pct_from_52w_high,target_price,analyst_upside_pct,fundamental_score,valuation_grade,valuation_detail,trend,rsi,vwap,supertrend,supertrend_signal,signal,signal_strength,signal_details,risk_level,risk_score,volatility_ann,volatility_percentile,daily_return_pct,bb_pct_b,bb_width_pct,atr_pct,max_drawdown_pct,current_drawdown_pct,ma50_deviation_pct,ma200_deviation_pct,intrinsic_value,dcf_upside_pct,wacc_used,fcf_growth_used,recommendation,recommendation_rank,rationale
ANANTRAJ.NS,ANANTRAJ,STOCK,Unknown,,441.95,-1.79,15913.5,64.8,29.1,3.45,,12.7,16.0,20.0,28.2,,743.65,376.15,-40.6,721.0,63.1,66.87500000000001,FAIR,"PE: expensive, PB: fair",BEARISH,24.9,515.9,501.48,SELL,HOLD,-2,RSI oversold | MACD negative | Price below VWAP (516) | Supertrend SELL,HIGH,76.0,31.5,16.3,-1.79,2.7,28.28,4.68,-39.9,-39.9,-16.97,-22.36,0.98,-99.8,10.6,-5.0,ACCUMULATE,1,Good fundamentals (67/100). Fairly valued. Bearish trend. High risk (score 76/100). Analysts see 63% upside
PIXTRANS.NS,PIXTRANS,STOCK,Unknown,,1409.1,0.54,1923.3,66.9,17.6,3.01,,4.7,64.0,8.4,58.5,,1799.6,1220.1,-21.7,,,70.87500000000001,FAIR,"PE: fair, PB: fair",WEAK,45.0,1490.2,1318.59,BUY,HOLD,-1,Supertrend BUY | MACD negative | Price below VWAP (1490),MEDIUM,49.0,36.9,62.4,0.54,11.8,9.99,3.79,-27.8,-19.6,0.76,-3.33,2486.81,76.5,11.9,35.0,ACCUMULATE,1,Strong fundamentals (71/100). Fairly valued. Weak price trend. Medium risk (score 49/100)
DAMCAPITAL.NS,DAMCAPITAL,STOCK,Unknown,,121.69,-3.12,860.2,42.6,10.6,2.78,,1.3,80.0,-34.6,-61.0,,303.5,119.22,-59.9,,,65.87500000000001,CHEAP,"PE: cheap, PB: fair",BEARISH,20.0,143.52,143.37,SELL,HOLD,-2,RSI oversold | MACD negative | Price below VWAP (144) | Supertrend SELL,HIGH,81.0,36.6,31.3,-3.12,8.1,41.81,5.32,-59.1,-59.1,-29.28,-45.14,73.33,-39.7,14.9,-5.0,ACCUMULATE,1,Good fundamentals (66/100). Attractively valued. Bearish trend. High risk (score 81/100)
INDRAMEDCO.NS,INDRAMEDCO,STOCK,Unknown,,391.6,2.27,3591.5,57.9,19.6,5.45,,4.8,118.0,14.4,24.9,,640.85,317.15,-38.9,630.0,60.9,67.87500000000001,FAIR,"PE: fair, PB: expensive",BEARISH,45.7,400.38,376.17,BUY,HOLD,-1,Supertrend BUY | MACD negative | Price below VWAP (400),MEDIUM,50.0,33.2,23.3,2.27,23.8,10.34,3.96,-43.9,-37.1,-2.2,-15.13,334.74,-14.5,12.0,23.7,ACCUMULATE,1,Good fundamentals (68/100). Fairly valued. Bearish trend. Medium risk (score 50/100). Analysts see 61% upside
ZAGGLE.NS,ZAGGLE,STOCK,Unknown,,216.08,-0.21,2911.1,53.1,22.4,2.21,,1.4,,56.0,71.9,,469.8,210.4,-54.0,480.0,122.1,71.37500000000001,FAIR,"PE: fair, PB: fair",BEARISH,35.2,233.97,246.52,SELL,SELL,-4,Momentum falling | Price below VWAP (234) | Supertrend SELL,HIGH,77.0,56.1,77.4,-0.21,26.6,26.73,5.66,-53.1,-53.0,-20.95,-39.38,,,,,ACCUMULATE,1,Strong fundamentals (71/100). Fairly valued. Bearish trend. High risk (score 77/100). Analysts see 122% upside
UNIECOM.NS,UNIECOM,STOCK,Unknown,,93.43,-2.32,1050.1,48.1,51.6,5.98,,5.9,,72.2,12.5,,155.8,91.7,-40.0,172.0,84.1,62.125000000000014,EXPENSIVE,"PE: very expensive, PB: expensive",BEARISH,34.2,116.39,108.64,SELL,HOLD,-2,RSI oversold | MACD negative | Price below VWAP (116) | Supertrend SELL,HIGH,91.0,81.4,99.6,-2.32,11.3,27.72,5.83,-38.4,-38.4,-12.84,-25.05,48.66,-47.9,14.7,32.2,HOLD,2,Good fundamentals (62/100). Expensively valued. Bearish trend. High risk (score 91/100). Analysts see 84% upside
TARIL.NS,TARIL,STOCK,Unknown,,266.05,-3.9,7985.9,64.4,29.7,5.94,,26.7,7.0,31.7,34.1,,594.0,224.05,-55.2,398.5,49.8,66.62500000000001,EXPENSIVE,"PE: expensive, PB: expensive",BEARISH,41.4,298.63,260.18,BUY,HOLD,-1,Supertrend BUY | MACD negative | Price below VWAP (299),HIGH,76.0,59.0,59.7,-3.9,0.7,18.68,6.0,-60.0,-53.6,-4.23,-33.98,,,,,HOLD,2,Good fundamentals (67/100). Expensively valued. Bearish trend. High risk (score 76/100). Analysts see 50% upside
QPOWER.NS,QPOWER,STOCK,Unknown,,795.75,2.37,6162.6,75.5,57.8,13.12,,5.5,13.0,291.3,161.8,,1082.0,267.8,-26.5,1550.0,94.8,69.37500000000001,VERY_EXPENSIVE,"PE: very expensive, PB: very expensive",WEAK,47.5,855.85,760.61,BUY,HOLD,-1,Supertrend BUY | MACD negative | Price below VWAP (856),MEDIUM,62.0,50.2,25.6,2.37,19.6,18.3,5.85,-44.3,-25.6,3.01,0.68,184.98,-76.8,13.7,35.0,HOLD,2,Good fundamentals (69/100). Very expensive valuation. Weak price trend. Medium risk (score 62/100). Analysts see 95% upside
BHARTIHEXA.NS,BHARTIHEXA,STOCK,Unknown,,1486.4,0.94,74320.0,85.0,42.4,11.06,28.8,94.7,68.0,4.8,81.4,2016.5,2052.9,1260.0,-27.6,1904.0,28.1,54.41666666666667,EXPENSIVE,"PE: expensive, PB: very expensive",BEARISH,29.7,1606.98,1626.82,SELL,HOLD,1,Momentum rising | RSI oversold | MACD negative | Price below VWAP (1607) | Supertrend SELL,MEDIUM,53.0,22.5,10.1,0.94,4.1,17.2,3.21,-25.4,-24.7,-9.55,-14.94,3005.71,102.2,10.0,35.0,HOLD,2,Average fundamentals (54/100). Expensively valued. Bearish trend. Medium risk (score 53/100). Analysts see 28% upside
NSDL.NS,NSDL,STOCK,Unknown,,,,,,,,,,,,,,,,,,,0.0,UNKNOWN,Insufficient valuation data,UNKNOWN,,,,,NO_DATA,0,,UNKNOWN,,,,,,,,,,,,,,,,HOLD,2,No fundamental data
