symbol,name,market_cap,last_price,avg_daily_volume_value,sector,industry,red_flag_status,red_flag_reasons
RELIANCE.NS,Reliance Industries Limited,19156567064576,1415.6,21072094564.650204,Energy,Oil & Gas Refining & Marketing,PASS,
BHARTIARTL.NS,Bharti Airtel Limited,11231455870976,1843.8,16857080197.008749,Communication Services,Telecom Services,PASS,
SBIN.NS,State Bank of India,9764147822592,1057.8,19586615644.70683,Financial Services,Banks - Regional,PASS,
ICICIBANK.NS,ICICI Bank Limited,8941799997440,1249.1,20685875683.46313,Financial Services,Banks - Regional,PASS,
TCS.NS,Tata Consultancy Services Limited,8649400385536,2390.6,10759620066.050365,Technology,Information Technology Services,PASS,
INFY.NS,Infosys Limited,5081882165248,1255.9,19936322445.398914,Technology,Information Technology Services,PASS,
LICI.NS,Life Insurance Corporation Of India,4912941891584,776.75,1338615615.0101767,Financial Services,Insurance - Life,PASS,
HINDUNILVR.NS,Hindustan Unilever Limited,4894204362752,2082.7,4092899396.334961,Consumer Defensive,Household & Personal Products,PASS,
LT.NS,Larsen & Toubro Limited,4724537950208,3434.5,13787855187.512028,Industrials,Engineering & Construction,PASS,
SUNPHARMA.NS,Sun Pharmaceutical Industries Limited,4263858143232,1777.1,4113630037.6928425,Healthcare,Drug Manufacturers - Specialty & Generic,PASS,
MARUTI.NS,Maruti Suzuki India Limited,3961786728448,12601.0,6478680714.733334,Consumer Cyclical,Auto Manufacturers,PASS,
ITC.NS,ITC Limited,3756262948864,299.8,7023214701.666212,Consumer Defensive,Tobacco,PASS,
AXISBANK.NS,Axis Bank Limited,3744431603712,1203.9,8202505467.795044,Financial Services,Banks - Regional,PASS,
NTPC.NS,NTPC Limited,3693945290752,380.95,4557232569.179576,Utilities,Utilities - Regulated Electric,PASS,
M&M.NS,Mahindra & Mahindra Limited,3690973888512,3074.6,10152347628.678223,Consumer Cyclical,Auto Manufacturers,PASS,
KOTAKBANK.NS,Kotak Mahindra Bank Limited,3647509364736,366.75,6752318028.927901,Financial Services,Banks - Regional,PASS,
TITAN.NS,Titan Company Limited,3643627274240,4107.6,3566110989.855257,Consumer Cyclical,Luxury Goods,PASS,
HCLTECH.NS,HCL Technologies Limited,3630985641984,1342.0,4716309067.174219,Technology,Information Technology Services,PASS,
ONGC.NS,Oil & Natural Gas Corporation Limited,3338805968896,265.4,6312317022.925157,Energy,Oil & Gas Integrated,PASS,
ULTRACEMCO.NS,UltraTech Cement Limited,3216497180672,10934.0,3363229945.3,Basic Materials,Building Materials,PASS,
ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited,3145825779712,1365.4,3562869993.170052,Industrials,Marine Shipping,PASS,
BEL.NS,Bharat Electronics Limited,3114696966144,426.1,7579804249.315993,Industrials,Aerospace & Defense,PASS,
ADANIPOWER.NS,Adani Power Limited,2922606755840,151.54,3359796647.458769,Utilities,Utilities - Independent Power Producers,PASS,
JSWSTEEL.NS,JSW Steel Limited,2857171156992,1169.6,1822506377.3972006,Basic Materials,Steel,PASS,
POWERGRID.NS,Power Grid Corporation of India Limited,2767859744768,297.6,4734960769.536414,Utilities,Utilities - Regulated Electric,PASS,
VEDL.NS,Vedanta Limited,2627072425984,672.2,8992999713.145334,Basic Materials,Other Industrial Metals & Mining,PASS,
ADANIENT.NS,Adani Enterprises Limited,2624581533696,1927.1,2793256802.094706,Energy,Thermal Coal,PASS,
HAL.NS,Hindustan Aeronautics Limited,2529507672064,3782.3,6896746999.632642,Industrials,Aerospace & Defense,PASS,
BAJAJ-AUTO.NS,Bajaj Auto Limited,2527514853376,9051.0,2876934380.516667,Consumer Cyclical,Auto Manufacturers,PASS,
NESTLEIND.NS,Nestle India Limited,2301635854336,1193.6,1247971202.104122,Consumer Defensive,Packaged Foods,PASS,
