symbol,name,market_cap,last_price,avg_daily_volume_value,sector,industry,red_flag_status,red_flag_reasons,fund_profitability,fund_growth,fund_valuation,fund_financial_health,fund_dividend,fundamental_score,fund_data_coverage,roe,pe_ratio,debt_to_equity,operating_margin,technical_score,tech_data_coverage,tech_trend,tech_momentum,tech_volume,tech_relative_strength,composite_score_raw,l_category,sector_preference_mult,composite_score,composite_rank,fundamental_rank,technical_rank,data_quality,qual_management,qual_moat,qual_catalysts,qual_governance,qual_strategy_alignment,qualitative_score
HDFCAMC.NS,HDFC Asset Management Company Limited,1006740439040,2350.0,2187702159.8944497,Financial Services,Asset Management,PASS,,97.5,78.0,12.5,100.0,60.0,72.37500000000001,1.0,,35.174377,,0.82412004,37.75000000000001,1.0,33.333333333333336,32.5,16.666666666666668,86.66666666666666,65.45000000000002,L1,1.05,68.72250000000003,49,28,647,HIGH,60.0,75.0,83.33333333333334,85.0,66.66666666666667,73.16666666666667
BEL.NS,Bharat Electronics Limited,3029172224000,414.4,7470025847.782545,Industrials,Aerospace & Defense,PASS,,82.5,84.0,12.5,90.0,75.0,69.62500000000001,1.0,,50.660145,0.273,0.27842,43.16666666666667,1.0,41.66666666666667,37.5,16.666666666666668,93.33333333333334,64.33333333333336,L2,1.1,70.7666666666667,32,62,362,HIGH,60.0,85.0,76.66666666666667,80.0,63.33333333333333,73.08333333333333
ICICIAMC.NS,ICICI Prudential Asset Management Company Limited,1343394676736,2718.0,1122990120.9157715,Financial Services,Asset Management,PASS,,97.5,94.0,22.5,90.0,60.0,76.37500000000001,1.0,,41.604164,4.117,0.75343,35.45833333333334,1.0,22.5,37.5,16.666666666666668,86.66666666666666,68.19166666666669,L1,1.05,71.60125000000004,28,8,790,HIGH,60.0,85.0,70.0,85.0,66.66666666666667,73.0
GRSE.NS,Garden Reach Shipbuilders & Engineers Limited,251952545792,2199.1,2214002959.248519,Industrials,Aerospace & Defense,PASS,,57.5,94.0,27.5,90.0,75.0,68.87500000000001,1.0,,36.523834,1.393,0.08417,40.0,1.0,25.0,37.5,40.0,80.0,63.100000000000016,L2,1.1,69.41000000000003,44,74,502,HIGH,60.0,75.0,70.0,85.0,70.0,71.0
VOLTAMP.NS,Voltamp Transformers Limited,84063150080,8309.0,358879577.93333334,Industrials,Electrical Equipment & Parts,PASS,,67.5,80.0,27.5,90.0,75.0,67.87500000000001,1.0,,23.72644,0.082,0.16493,57.000000000000014,1.0,55.0,52.5,40.0,93.33333333333334,65.70000000000002,L2,1.1,72.27000000000002,25,90,105,HIGH,60.0,75.0,70.0,80.0,70.0,70.25
GVT&D.NS,GE Vernova T&D India Limited,892655042560,3486.3,1880768399.1444173,Industrials,Specialty Industrial Machinery,PASS,,82.5,84.0,22.5,90.0,60.0,70.12500000000001,1.0,,83.86577,1.46,0.26053,49.16666666666667,1.0,51.66666666666667,42.5,16.666666666666668,100.0,65.93333333333335,L2,1.1,72.5266666666667,23,53,210,HIGH,70.0,65.0,63.33333333333333,80.0,73.33333333333333,69.41666666666666
DATAPATTNS.NS,Data Patterns (India) Limited,177004511232,3161.7,3386866495.58737,Industrials,Aerospace & Defense,PASS,,87.5,90.0,12.5,90.0,60.0,70.87500000000001,1.0,,71.43471,0.378,0.43129003,61.66666666666667,1.0,61.66666666666667,52.5,46.66666666666667,100.0,69.03333333333336,L2,1.1,75.9366666666667,6,46,67,HIGH,60.0,75.0,63.33333333333333,80.0,73.33333333333333,69.41666666666666
TECHNOE.NS,Techno Electric & Engineering Company Limited,120346804224,1034.8,307256704.67261964,Industrials,Engineering & Construction,PASS,,57.5,88.0,27.5,90.0,75.0,67.37500000000001,1.0,,25.60119,1.573,0.1338,42.91666666666667,1.0,33.333333333333336,37.5,40.0,80.0,62.48333333333335,L2,1.1,68.73166666666668,48,99,367,HIGH,60.0,75.0,70.0,80.0,63.33333333333333,69.25
MAHABANK.NS,Bank of Maharashtra,481183694848,62.56,1574461635.6538053,Financial Services,Banks - Regional,PASS,,62.0,84.0,66.66666666666667,,60.0,69.79166666666667,0.8,0.21174999,7.429929,,0.55347997,47.91666666666667,1.0,46.66666666666667,47.5,16.666666666666668,93.33333333333334,65.41666666666667,L1,1.05,68.68750000000001,50,60,239,HIGH,60.0,75.0,63.33333333333333,80.0,62.5,67.79166666666666
IRCTC.NS,Indian Railway Catering And Tourism Corporation Limited,412920020992,516.15,1874867072.06828,Consumer Cyclical,Travel Services,PASS,,97.5,82.0,17.5,90.0,70.0,73.37500000000001,1.0,,28.948402,1.836,0.31261998,29.41666666666667,1.0,21.666666666666664,25.0,16.666666666666668,73.33333333333333,64.58333333333336,L2,1.07,69.1041666666667,46,25,1264,HIGH,70.0,65.0,70.0,80.0,50.0,67.25
SANOFICONR.NS,Sanofi Consumer Healthcare India Limited,96296976384,4175.3,252997806.87902832,Healthcare,Drug Manufacturers - General,PASS,,98.33333333333334,92.0,22.5,72.5,70.0,73.58333333333334,1.0,0.7309,40.081596,6.458,0.34422,48.75000000000001,1.0,33.333333333333336,52.5,46.66666666666667,80.0,68.61666666666667,L1,1.02,69.989,39,24,220,HIGH,70.0,60.0,70.0,80.0,57.5,67.125
ENGINERSIN.NS,Engineers India Limited,104651120640,186.05,3565727222.3861356,Industrials,Engineering & Construction,PASS,,77.5,84.0,47.5,90.0,75.0,75.37500000000001,1.0,,13.481884,0.731,0.28259,40.16666666666667,1.0,31.666666666666664,42.5,16.666666666666668,86.66666666666666,68.33333333333334,L2,1.1,75.16666666666669,9,11,492,HIGH,60.0,65.0,70.0,80.0,63.33333333333333,66.75
HBLENGINE.NS,HBL Engineering Limited,178444238848,643.75,953680929.8887675,Industrials,Electrical Equipment & Parts,PASS,,92.5,78.0,37.5,90.0,60.0,74.12500000000001,1.0,,22.438131,4.396,0.33192003,37.91666666666667,1.0,36.666666666666664,32.5,16.666666666666668,80.0,66.88333333333334,L2,1.1,73.57166666666669,13,19,638,HIGH,50.0,75.0,80.0,80.0,50.0,66.75
