symbol,name,market_cap,last_price,avg_daily_volume_value,sector,industry
RELIANCE.NS,Reliance Industries Limited,18707289997312,1382.4,19813242128.247902,Energy,Oil & Gas Refining & Marketing
HDFCBANK.NS,HDFC Bank Limited,12620031590400,820.0,27973168874.711174,Financial Services,Banks - Regional
BHARTIARTL.NS,Bharti Airtel Limited,10890334175232,1787.8,16211191331.073519,Communication Services,Telecom Services
SBIN.NS,State Bank of India,9760455786496,1057.3,18706613471.713726,Financial Services,Banks - Regional
ICICIBANK.NS,ICICI Bank Limited,8973914734592,1253.8,19661465796.735535,Financial Services,Banks - Regional
TCS.NS,Tata Consultancy Services Limited,8690283839488,2401.9,11625957288.009317,Technology,Information Technology Services
BAJFINANCE.NS,Bajaj Finance Limited,5308448505856,853.95,8177532221.12028,Financial Services,Credit Services
HINDUNILVR.NS,Hindustan Unilever Limited,5086193909760,2164.4,3831478243.5785728,Consumer Defensive,Household & Personal Products
LICI.NS,Life Insurance Corporation Of India,4858230341632,768.1,1337804932.8960042,Financial Services,Insurance - Life
LT.NS,Larsen & Toubro Limited,4728526733312,3437.4,11989506279.609465,Industrials,Engineering & Construction
SUNPHARMA.NS,Sun Pharmaceutical Industries Limited,4311604789248,1797.0,4393893763.975911,Healthcare,Drug Manufacturers - Specialty & Generic
MARUTI.NS,Maruti Suzuki India Limited,3941979389952,12538.0,5702493499.366667,Consumer Cyclical,Auto Manufacturers
ITC.NS,ITC Limited,3822668218368,305.1,6472441499.226856,Consumer Defensive,Tobacco
AXISBANK.NS,Axis Bank Limited,3713760493568,1195.2,8067354130.738412,Financial Services,Banks - Regional
KOTAKBANK.NS,Kotak Mahindra Bank Limited,3663422291968,368.35,6873503478.542751,Financial Services,Banks - Regional
TITAN.NS,Titan Company Limited,3619055730688,4079.9,3492642678.012541,Consumer Cyclical,Luxury Goods
HCLTECH.NS,HCL Technologies Limited,3590400770048,1327.0,4833196191.71156,Technology,Information Technology Services
M&M.NS,Mahindra & Mahindra Limited,3505140531200,2920.0,9564352746.380754,Consumer Cyclical,Auto Manufacturers
ONGC.NS,Oil & Natural Gas Corporation Limited,3282194661376,260.9,6165449819.808944,Energy,Oil & Gas Integrated
ULTRACEMCO.NS,UltraTech Cement Limited,3220321599488,10947.0,3054572445.2,Basic Materials,Building Materials
BEL.NS,Bharat Electronics Limited,3144667103232,430.2,7870979875.647772,Industrials,Aerospace & Defense
ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited,3117947813888,1352.8,4184987201.178003,Industrials,Marine Shipping
ADANIPOWER.NS,Adani Power Limited,2890592157696,149.88,3138117204.7000346,Utilities,Utilities - Independent Power Producers
COALINDIA.NS,Coal India Limited,2873064161280,466.2,4382216564.001214,Energy,Thermal Coal
JSWSTEEL.NS,JSW Steel Limited,2779243872256,1137.7,1644740059.4382772,Basic Materials,Steel
POWERGRID.NS,Power Grid Corporation of India Limited,2774370091008,298.3,5108104648.36022,Utilities,Utilities - Regulated Electric
BAJAJFINSV.NS,Bajaj Finserv Limited,2764468912128,1730.5,1906174650.7223103,Financial Services,Financial Conglomerates
VEDL.NS,Vedanta Limited,2702695464960,691.55,9390966721.483736,Basic Materials,Other Industrial Metals & Mining
ADANIENT.NS,Adani Enterprises Limited,2675926630400,1964.8,3195731771.666907,Energy,Thermal Coal
HAL.NS,Hindustan Aeronautics Limited,2580468203520,3858.5,8412543174.742871,Industrials,Aerospace & Defense
BAJAJ-AUTO.NS,Bajaj Auto Limited,2484090961920,8892.5,2780748138.45,Consumer Cyclical,Auto Manufacturers
DMART.NS,Avenue Supermarts Limited,2464781434880,3787.7,1448909077.1757731,Consumer Defensive,Discount Stores
NESTLEIND.NS,Nestle India Limited,2319183511552,1202.7,1188915505.1570475,Consumer Defensive,Packaged Foods
TATASTEEL.NS,Tata Steel Limited,2316271616000,185.72,6688980703.073314,Basic Materials,Steel
HINDZINC.NS,Hindustan Zinc Limited,2279559659520,539.5,5046669715.029254,Basic Materials,Other Industrial Metals & Mining
IOC.NS,Indian Oil Corporation Limited,2120303902720,150.15,3439788833.8018723,Energy,Oil & Gas Refining & Marketing
ASIANPAINT.NS,Asian Paints Limited,2094720221184,2185.2,2702532032.671509,Basic Materials,Specialty Chemicals
WIPRO.NS,Wipro Limited,2067130220544,197.29,3712961909.2479854,Technology,Information Technology Services
HINDALCO.NS,Hindalco Industries Limited,2050521169920,917.1,5773911295.214465,Basic Materials,Aluminum
ETERNAL.NS,ETERNAL LIMITED,1964852117504,215.63,12382932040.506853,Consumer Cyclical,Internet Retail
SBILIFE.NS,SBI Life Insurance Company Limited,1912853233664,1907.1,1791628951.676896,Financial Services,Insurance - Life
EICHERMOT.NS,Eicher Motors Limited,1848192008192,6737.5,4373116493.033334,Consumer Cyclical,Auto Manufacturers
SHRIRAMFIN.NS,Shriram Finance Limited,1834866180096,975.2,6340704249.881663,Financial Services,Credit Services
GRASIM.NS,Grasim Industries Limited,1785418219520,2633.0,2139905635.7895427,Basic Materials,Building Materials
INDIGO.NS,InterGlobe Aviation Limited,1615500279808,4178.3,6191096326.163379,Industrials,Airlines
DIVISLAB.NS,Divi's Laboratories Limited,1606483050496,6051.5,2154610511.383333,Healthcare,Drug Manufacturers - Specialty & Generic
TVSMOTOR.NS,TVS Motor Company Limited,1593586089984,3355.2,2923833961.7521076,Consumer Cyclical,Auto Manufacturers
HYUNDAI.NS,Hyundai Motor India Limited,1587705413632,1954.0,1081409234.1095254,Consumer Cyclical,Auto Manufacturers
TMCV.NS,Tata Motors Limited,1577326739456,428.35,4638485353.207874,Consumer Cyclical,Auto Manufacturers
JIOFIN.NS,Jio Financial Services Limited,1492670611456,234.95,3368528204.311229,Financial Services,Asset Management
TORNTPHARM.NS,Torrent Pharmaceuticals Limited,1476095901696,4361.4,1678646455.8146079,Healthcare,Drug Manufacturers - Specialty & Generic
BANKBARODA.NS,Bank of Baroda,1447205797888,279.85,2974398640.58178,Financial Services,Banks - Regional
ADANIGREEN.NS,Adani Green Energy Limited,1423407316992,864.15,2735464498.3375936,Utilities,Utilities - Renewable
ICICIAMC.NS,ICICI Prudential Asset Management Company Limited,1415506952192,2863.9,1161824658.3331869,Financial Services,Asset Management
VBL.NS,Varun Beverages Limited,1399848828928,413.9,2570368374.6404295,Consumer Defensive,Beverages - Non-Alcoholic
BRITANNIA.NS,Britannia Industries Limited,1394868224000,5791.0,1841308114.2,Consumer Defensive,Packaged Foods
PIDILITIND.NS,Pidilite Industries Limited,1370931200000,1347.0,1091315843.5376058,Basic Materials,Specialty Chemicals
HDFCLIFE.NS,HDFC Life Insurance Company Limited,1348603871232,625.55,2094710272.29588,Financial Services,Insurance - Life
BPCL.NS,Bharat Petroleum Corporation Limited,1339513634816,308.75,3151326317.8700147,Energy,Oil & Gas Refining & Marketing
ABB.NS,ABB India Limited,1335206215680,6300.5,2865848543.1666665,Industrials,Specialty Industrial Machinery
LTIM.NS,LTIMindtree Limited,1335159685120,4504.0,1585696109.298649,Technology,Information Technology Services
UNIONBANK.NS,Union Bank of India,1334777741312,174.81,3039262562.8789535,Financial Services,Banks - Regional
MUTHOOTFIN.NS,Muthoot Finance Limited,1334028795904,3321.0,3688448076.6027913,Financial Services,Credit Services
PFC.NS,Power Finance Corporation Limited,1327630909440,402.3,3672610233.9438143,Financial Services,Credit Services
DLF.NS,DLF Limited,1324030623744,534.7,2202432467.6743207,Real Estate,Real Estate - Development
